match_id,patch,player,rank,champion,role,win,duration_min,first_tower,first_dragon,first_baron,first_riftherald,dragon_kills,baron_kills,tower_kills,inhibitor_kills,dragon_adv,baron_adv,tower_adv,kills,deaths,assists,kda,damage,gold,cs,vision_score
TR1_1572457483,14.23,StârMuhtar,Emerald,Viego,JUNGLE,0,18.1,0,1,0,0,1,0,1,0,0,0,-2,1,4,0,0.25,2863,5210,96,11
TR1_1567935394,14.22,StârMuhtar,Emerald,Graves,JUNGLE,1,28.6,1,0,1,0,3,1,8,1,2,1,6,16,5,7,4.6,26138,16695,232,31
TR1_1567577954,14.22,StârMuhtar,Emerald,Ambessa,TOP,0,33.63333333333333,0,0,0,1,1,0,4,0,-3,-1,-3,3,13,8,0.8461538461538461,23109,13311,256,18
TR1_1567508369,14.22,StârMuhtar,Emerald,Irelia,TOP,1,25.116666666666667,1,0,1,0,2,1,11,3,1,1,9,14,4,7,5.25,34777,16435,247,17
TR1_1567488275,14.22,StârMuhtar,Emerald,Renekton,TOP,1,15.35,1,1,0,0,2,0,3,0,2,0,3,7,3,0,2.3333333333333335,12521,8578,141,5
TR1_1567460615,14.22,StârMuhtar,Emerald,Zac,TOP,1,16.133333333333333,1,1,0,0,1,0,3,0,1,0,3,8,3,8,5.333333333333333,14273,8948,129,6
TR1_1567416296,14.22,StârMuhtar,Emerald,Corki,BOTTOM,1,36.516666666666666,1,0,0,0,3,0,10,3,1,-2,5,17,9,16,3.6666666666666665,43203,17837,299,22
TR1_1559006834,14.20,StârMuhtar,Emerald,Viego,JUNGLE,0,34.916666666666664,0,0,1,0,1,2,6,0,-2,2,-3,11,11,8,1.7272727272727273,18807,14788,191,25
TR1_1557931081,14.19,StârMuhtar,Emerald,Poppy,TOP,1,19.483333333333334,1,1,0,0,3,0,10,2,3,0,10,0,4,2,0.5,7292,6182,98,13
TR1_1557922438,14.19,StârMuhtar,Emerald,Sett,TOP,0,16.266666666666666,0,1,0,0,1,0,0,0,1,0,-5,2,7,0,0.2857142857142857,4551,4428,76,10
TR1_1557916088,14.19,StârMuhtar,Emerald,Poppy,TOP,0,22.716666666666665,0,0,0,0,0,0,0,0,-3,-1,-10,2,7,0,0.2857142857142857,18871,7139,147,7
TR1_1556037736,14.19,StârMuhtar,Emerald,Syndra,MIDDLE,0,27.616666666666667,1,0,0,0,0,0,5,0,-3,-1,-4,3,9,3,0.6666666666666666,8023,8320,141,21
TR1_1556031109,14.19,StârMuhtar,Emerald,Fiora,TOP,0,29.916666666666668,0,0,0,0,0,0,4,0,-3,-1,-1,1,7,2,0.42857142857142855,15028,9788,211,14
TR1_1555765071,14.19,StârMuhtar,Emerald,TahmKench,TOP,1,1.7833333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,500,0,0
TR1_1555612436,14.18,StârMuhtar,Emerald,Illaoi,TOP,1,31.116666666666667,1,1,1,1,4,2,11,3,4,2,9,4,10,7,1.1,42421,16196,263,14
TR1_1555551873,14.18,StârMuhtar,Emerald,Vladimir,TOP,1,40.96666666666667,0,0,0,0,3,0,6,1,0,-3,-5,12,11,12,2.1818181818181817,40375,18799,324,17
TR1_1555219070,14.18,StârMuhtar,Emerald,Vladimir,MIDDLE,1,20.816666666666666,1,1,0,1,2,0,7,1,2,0,7,4,3,0,1.3333333333333333,10691,8790,176,12
TR1_1554244242,14.18,StârMuhtar,Emerald,Yasuo,MIDDLE,0,27.833333333333332,0,1,0,0,2,0,4,0,1,-1,-7,0,15,0,0.0,12387,7040,144,10
TR1_1554237112,14.18,StârMuhtar,Emerald,Galio,MIDDLE,1,17.633333333333333,1,0,0,0,1,0,3,0,0,0,3,0,0,1,1.0,4265,4978,111,8
TR1_1554227364,14.18,StârMuhtar,Emerald,Syndra,MIDDLE,1,31.133333333333333,1,0,0,0,1,0,8,1,-2,0,5,5,7,8,1.8571428571428572,17111,12609,224,18
TR1_1553174803,14.18,StârMuhtar,Emerald,Galio,MIDDLE,0,27.916666666666668,1,0,0,0,1,0,3,0,-2,-1,-7,2,5,5,1.4,13749,8497,148,29
TR1_1552934671,14.18,StârMuhtar,Emerald,Rumble,MIDDLE,0,23.066666666666666,0,0,0,0,0,0,1,0,-3,-1,-8,2,6,2,0.6666666666666666,10839,6996,133,12
TR1_1552921529,14.18,StârMuhtar,Emerald,Naafiri,MIDDLE,1,31.483333333333334,1,0,1,0,2,2,11,3,-1,2,9,4,8,10,1.75,25849,12995,205,21
TR1_1552902960,14.18,StârMuhtar,Emerald,Zed,MIDDLE,0,38.166666666666664,0,0,1,0,1,1,6,0,-3,0,-3,7,7,8,2.142857142857143,24420,14819,191,26
TR1_1552896507,14.18,StârMuhtar,Emerald,Sylas,MIDDLE,1,15.95,1,1,0,0,1,0,2,0,0,0,2,3,3,1,1.3333333333333333,7157,4979,69,11
TR1_1552883807,14.18,StârMuhtar,Emerald,Ahri,MIDDLE,1,26.783333333333335,0,1,1,1,2,1,9,1,1,1,6,3,7,6,1.2857142857142858,12673,9744,145,21
TR1_1552742806,14.18,StârMuhtar,Emerald,Gnar,TOP,1,31.85,1,1,1,1,4,2,11,4,4,2,9,10,6,4,2.3333333333333335,27131,14767,228,15
TR1_1552743268,14.18,StârMuhtar,Emerald,Gangplank,TOP,1,23.45,1,1,0,0,3,0,11,2,3,0,9,7,2,10,8.5,20123,14416,216,12
TR1_1552740022,14.18,StârMuhtar,Emerald,Mordekaiser,MIDDLE,1,27.016666666666666,1,1,1,1,3,1,9,1,3,1,7,7,5,8,3.0,21109,12340,174,5
TR1_1552731888,14.18,StârMuhtar,Emerald,Kaisa,BOTTOM,1,23.4,1,0,1,1,2,1,11,3,1,1,10,3,5,10,2.6,11312,10687,201,15
TR1_1552582503,14.18,StârMuhtar,Emerald,Lulu,UTILITY,0,25.95,0,0,0,0,0,0,1,0,-4,0,-9,2,7,8,1.4285714285714286,6800,6867,24,40
TR1_1552574138,14.18,StârMuhtar,Emerald,Nautilus,UTILITY,1,23.166666666666668,1,0,1,1,2,1,10,2,1,1,9,3,6,7,1.6666666666666667,3792,7224,22,45
TR1_1545969085,14.16,StârMuhtar,Emerald,Jax,TOP,1,26.683333333333334,0,1,1,0,3,1,6,1,2,1,-3,1,11,4,0.45454545454545453,9476,7623,107,14
TR1_1545963484,14.16,StârMuhtar,Emerald,Sett,TOP,1,3.8666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1216,24,0
TR1_1545952944,14.16,StârMuhtar,Emerald,Poppy,TOP,0,24.85,0,0,0,0,0,0,1,0,-3,-1,-8,1,8,4,0.625,13632,6857,139,23
TR1_1545946845,14.16,StârMuhtar,Emerald,Nautilus,UTILITY,0,15.2,0,1,0,0,1,0,0,0,1,0,-5,0,6,0,0.0,1333,3130,22,19
TR1_1544166070,14.16,StârMuhtar,Emerald,Gnar,TOP,0,22.233333333333334,0,0,0,0,0,0,1,0,-2,0,-4,0,6,1,0.16666666666666666,10988,7021,176,11
TR1_1544120418,14.16,StârMuhtar,Emerald,Varus,TOP,0,27.433333333333334,1,0,0,0,0,0,3,0,-2,-1,-4,3,10,1,0.4,15837,9402,173,16
TR1_1544105940,14.16,StârMuhtar,Emerald,Vladimir,MIDDLE,1,32.96666666666667,1,0,1,0,1,1,10,4,-3,1,7,16,11,6,2.0,41125,16750,230,9
TR1_1539905210,14.15,StârMuhtar,Emerald,Kled,TOP,0,29.266666666666666,1,1,0,1,3,0,3,0,2,-1,-5,5,11,7,1.0909090909090908,32371,11362,225,9
TR1_1703854044,16.07,FrozênMuhtar,Master,Karma,UTILITY,1,30.266666666666666,1,1,1,1,3,1,10,2,2,1,8,0,0,14,14.0,13706,8909,22,84
TR1_1703843302,16.07,FrozênMuhtar,Master,Karma,UTILITY,1,28.7,1,0,1,1,2,1,10,1,0,1,8,1,6,25,4.333333333333333,16406,9860,33,78
TR1_1703839748,16.07,FrozênMuhtar,Master,Lulu,UTILITY,1,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,561,845,4,0
TR1_1703672564,16.07,FrozênMuhtar,Master,Karma,UTILITY,1,39.65,0,1,0,1,3,1,7,1,0,-1,-2,2,6,21,3.8333333333333335,33007,11465,30,93
TR1_1703652543,16.07,FrozênMuhtar,Master,Blitzcrank,UTILITY,1,26.05,1,1,1,0,2,1,10,2,2,1,9,2,2,11,6.5,8530,8131,34,71
TR1_1702937975,16.07,FrozênMuhtar,Master,Malphite,TOP,1,22.183333333333334,1,1,1,1,2,1,5,0,2,1,3,5,2,5,5.0,16637,9602,181,14
TR1_1701495813,16.06,FrozênMuhtar,Master,Sion,TOP,1,26.216666666666665,1,1,1,1,4,1,10,1,4,1,7,2,3,7,3.0,18311,10652,219,24
TR1_1701487805,16.06,FrozênMuhtar,Master,Ahri,MIDDLE,1,26.066666666666666,1,1,1,1,2,1,8,1,2,1,6,4,3,10,4.666666666666667,22823,12516,223,17
TR1_1701356494,16.06,FrozênMuhtar,Master,Ahri,MIDDLE,0,35.21666666666667,0,0,0,0,1,0,4,0,-2,-2,-5,13,8,12,3.125,58383,16501,263,36
TR1_1701345353,16.06,FrozênMuhtar,Master,Orianna,MIDDLE,1,26.333333333333332,0,0,1,0,2,1,7,1,0,1,3,11,6,11,3.6666666666666665,32267,14570,228,17
TR1_1701254899,16.06,FrozênMuhtar,Master,Mel,MIDDLE,0,29.366666666666667,0,0,0,0,0,0,3,0,-4,-2,-7,8,9,7,1.6666666666666667,33505,12240,214,10
TR1_1701246271,16.06,FrozênMuhtar,Master,Sylas,MIDDLE,0,24.45,0,0,0,0,0,0,0,0,-3,-1,-9,4,9,3,0.7777777777777778,13782,8634,144,20
TR1_1701139019,16.06,FrozênMuhtar,Master,Malphite,TOP,1,32.733333333333334,1,1,1,1,2,1,8,1,-1,1,3,2,5,9,2.2,18756,12416,235,27
TR1_1700704219,16.06,FrozênMuhtar,Master,Fizz,MIDDLE,0,28.266666666666666,1,0,0,0,0,0,3,0,-2,-1,-7,6,8,7,1.625,28617,11284,178,17
TR1_1700690646,16.06,FrozênMuhtar,Master,JarvanIV,JUNGLE,0,24.75,0,0,0,0,0,0,0,0,-4,-1,-10,6,12,10,1.3333333333333333,16857,9655,121,18
TR1_1699702490,16.06,FrozênMuhtar,Master,Ahri,MIDDLE,1,26.883333333333333,1,1,1,1,3,1,10,3,2,1,9,13,8,7,2.5,22464,11256,151,16
TR1_1699555654,16.06,FrozênMuhtar,Master,Nautilus,UTILITY,1,22.483333333333334,0,1,1,0,1,1,6,1,1,1,4,2,3,23,8.333333333333334,16249,8824,28,35
TR1_1699539016,16.06,FrozênMuhtar,Master,Ahri,MIDDLE,0,41.25,0,0,1,1,5,2,6,0,4,1,-4,5,6,6,1.8333333333333333,33756,16293,320,25
TR1_1699495419,16.06,FrozênMuhtar,Master,Ahri,MIDDLE,1,26.083333333333332,0,1,0,1,4,0,9,1,4,0,8,4,5,14,3.6,26871,11978,189,39
TR1_1699482308,16.06,FrozênMuhtar,Master,Mel,MIDDLE,1,27.683333333333334,1,1,1,1,4,1,9,2,4,1,7,12,6,6,3.0,31001,12955,212,23
TR1_1699445586,16.06,FrozênMuhtar,Master,JarvanIV,JUNGLE,1,26.9,1,1,1,1,4,1,11,3,4,1,11,7,3,24,10.333333333333334,24362,14359,182,19
TR1_1699439068,16.06,FrozênMuhtar,Master,JarvanIV,JUNGLE,1,28.233333333333334,1,1,1,0,3,1,9,2,2,1,8,4,3,15,6.333333333333333,12474,12192,212,27
TR1_1699411071,16.06,FrozênMuhtar,Master,Khazix,JUNGLE,0,39.63333333333333,0,1,1,0,4,2,6,0,2,2,-1,15,10,8,2.3,44623,21482,264,46
TR1_1699407007,16.06,FrozênMuhtar,Master,JarvanIV,JUNGLE,1,1.6833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,745,8,0
TR1_1699399378,16.06,FrozênMuhtar,Master,Sion,TOP,1,17.816666666666666,1,1,0,0,2,0,2,0,2,0,2,0,0,3,3.0,12324,6930,175,14
TR1_1699391496,16.06,FrozênMuhtar,Master,JarvanIV,JUNGLE,1,23.683333333333334,1,0,1,0,2,1,9,1,1,1,9,5,4,16,5.25,11786,11453,168,21
TR1_1699383480,16.06,FrozênMuhtar,Master,Zed,JUNGLE,1,26.833333333333332,0,0,1,0,1,1,8,1,-1,1,6,8,3,9,5.666666666666667,21508,14888,198,26
